pipeline_name,display_name,task_type,entity_type,contract_version,prediction_feed_endpoint,entity_insight_endpoint,recommended_widgets,primary_users
case_prioritization,Case Prioritization,classification,resident,2026-04-phase-f,/ml/pipelines/case_prioritization/predictions,/ml/residents/{residentId}/insights,ranked_table_widget|recommendation_panel|insight_summary_card,case managers|safehouse leadership
counseling_progress,Counseling Progress,classification,resident,2026-04-phase-f,/ml/pipelines/counseling_progress/predictions,/ml/residents/{residentId}/insights,insight_summary_card|ranked_table_widget|explanation_chart_card,social workers|case managers
education_improvement,Education Improvement,classification,resident,2026-04-phase-f,/ml/pipelines/education_improvement/predictions,/ml/residents/{residentId}/insights,insight_summary_card|ranked_table_widget|recommendation_panel,case managers|education coordinators
home_visitation_outcome,Home Visitation Outcome,classification,resident,2026-04-phase-f,/ml/pipelines/home_visitation_outcome/predictions,/ml/residents/{residentId}/insights,insight_summary_card|recommendation_panel|ranked_table_widget,case managers|reintegration staff
reintegration_readiness,Reintegration Readiness,classification,resident,2026-04-phase-f,/ml/pipelines/reintegration_readiness/predictions,/ml/residents/{residentId}/insights,ranked_table_widget|insight_summary_card|recommendation_panel,case managers|safehouse leadership
resident_risk,Resident Risk,classification,resident,2026-04-phase-f,/ml/pipelines/resident_risk/predictions,/ml/residents/{residentId}/insights,risk_badge_widget|ranked_table_widget|explanation_chart_card,case managers|operations staff
capacity_pressure,Capacity Pressure,classification,safehouse,2026-04-phase-f,/ml/pipelines/capacity_pressure/predictions,/ml/safehouses/{safehouseId}/insights,risk_badge_widget|insight_summary_card|recommendation_panel,operations leadership|program leadership
resource_demand,Resource Demand,regression,safehouse,2026-04-phase-f,/ml/pipelines/resource_demand/predictions,/ml/safehouses/{safehouseId}/insights,forecast_widget|insight_summary_card|ranked_table_widget,operations leadership|fundraising leadership
best_posting_time,Best Posting Time,classification,social_media_post,2026-04-phase-f,/ml/pipelines/best_posting_time/predictions,,recommendation_panel|insight_summary_card|ranked_table_widget,outreach managers|social media staff
social_media_conversion,Social Media Conversion,classification,social_media_post,2026-04-phase-f,/ml/pipelines/social_media_conversion/predictions,,ranked_table_widget|explanation_chart_card|insight_summary_card,outreach managers|fundraising leadership
donor_retention,Donor Retention,classification,supporter,2026-04-phase-f,/ml/pipelines/donor_retention/predictions,/ml/supporters/{supporterId}/insights,ranked_table_widget|risk_badge_widget|recommendation_panel,fundraisers|donor engagement leads
donor_upgrade,Donor Upgrade,classification,supporter,2026-04-phase-f,/ml/pipelines/donor_upgrade/predictions,/ml/supporters/{supporterId}/insights,ranked_table_widget|insight_summary_card|recommendation_panel,fundraisers|development leadership
next_donation_amount,Next Donation Amount,regression,supporter,2026-04-phase-f,/ml/pipelines/next_donation_amount/predictions,/ml/supporters/{supporterId}/insights,insight_summary_card|ranked_table_widget|recommendation_panel,fundraisers|development leadership
