expansion_pipeline,expansion_slug,primary_dataset,existing_shared_datasets,existing_label_columns,nearest_current_assets,feature_builder_modules,modeling_helpers,notebook_and_delivery_helpers,delivery_patterns,reuse_score,recommended_lane,notes
Donor-to-Impact Personalization Model,donor_to_impact_personalization_model,supporter_features,supporter_features; campaign_features; safehouse_features,label_lapsed_180d,donor_retention; donation_uplift; safehouse_outcomes,ml/src/features/donor_features.py; ml/src/features/safehouse_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donor-retention; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donation-uplift; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\safehouse-outcomes,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,21,later_strategic,"High-value long-term idea, but it depends on several branches and a new personalization target definition."
Donation Allocation Impact Explanation,donation_allocation_impact_explanation,safehouse_features,safehouse_features; campaign_features; supporter_features,label_lapsed_180d,donation_uplift; safehouse_outcomes,ml/src/features/safehouse_features.py; ml/src/features/donor_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donation-uplift; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\safehouse-outcomes,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,19,later_strategic,"Strong donor-to-outcome story potential, but it spans multiple current branches and should follow the faster donor/outreach work."
Donation Channel Effectiveness Explanation,donation_channel_effectiveness_explanation,campaign_features,campaign_features; supporter_features,label_lapsed_180d,donor_retention; donation_uplift,ml/src/features/donor_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donor-retention; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donation-uplift,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,18,build_now,"Can explain long-term donor value by acquisition and giving channel with today's aggregates, even before a new supervised label is added."
Donor Upgrade Likelihood,donor_upgrade_likelihood,supporter_features,supporter_features; campaign_features,label_lapsed_180d,donor_retention; donation_uplift,ml/src/features/donor_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donor-retention; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donation-uplift,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,17,build_now,Best donor-branch adjacency once a future amount-growth label is added to supporter snapshots.
Next Donation Amount Prediction,next_donation_amount_prediction,supporter_features,supporter_features; campaign_features,label_lapsed_180d,donor_retention; donation_uplift,ml/src/features/donor_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donor-retention; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donation-uplift,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,17,build_now,"Reuses the donor branch, but needs a longitudinal regression target instead of the current classification labels."
Recurring Donor Conversion,recurring_donor_conversion,supporter_features,supporter_features; campaign_features,label_lapsed_180d,donor_retention,ml/src/features/donor_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\donor-retention,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,14,build_now,Extends the donor branch with a first-recurring-within-window label and keeps the same scoring UX.
Best Posting Time Prediction,best_posting_time_prediction,post_features,post_features,label_donation_referral_positive; label_estimated_donation_value_php,social_media_conversion,ml/src/features/social_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\social-media-conversion,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,13,build_now,Can reuse donation-linked post outcomes immediately while re-framing the feature slice around timing variables.
Case Prioritization Score,case_prioritization_score,resident_monthly_features,resident_monthly_features,label_incident_next_30d; label_reintegration_complete_next_90d,resident_risk; reintegration_readiness,ml/src/features/resident_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\resident-risk; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\reintegration-readiness,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,13,build_after_donor_wave,Can combine current risk and reintegration signals into a triage score before introducing a brand-new resident label.
Content Type Effectiveness Explanation,content_type_effectiveness_explanation,post_features,post_features,label_donation_referral_positive; label_estimated_donation_value_php,social_media_conversion,ml/src/features/social_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\social-media-conversion,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,13,build_now,"Pure explanation notebook off the existing post table, with no new shared dataset work required."
Counseling Progress Prediction,counseling_progress_prediction,resident_monthly_features,resident_monthly_features; resident_features,label_incident_next_30d; label_reintegration_complete_next_90d,reintegration_readiness,ml/src/features/resident_features.py,ml/src/pipelines/common.py; ml/src/modeling/train.py; ml/src/modeling/metrics.py; ml/src/modeling/validation.py,ml/scripts/build_phase5_notebooks.py; ml/scripts/export_for_api.py; ml/src/inference/batch_score.py; ml/src/inference/predict.py; ml/app-integration/integration_notes.md; C:\Users\GeorgeColinRamsay\Documents\Github\intex_2\ml\ml-pipelines\reintegration-readiness,explanation_chart_card; insight_summary_card; ranked_table_widget; recommendation_panel; risk_badge_widget,12,build_after_donor_wave,Needs a defensible future progress label derived from process recordings or wellbeing deltas.
