recommended_order,expansion_pipeline,expansion_slug,domain,framing,status,recommended_lane,primary_dataset,secondary_datasets,current_repo_assets,target_readiness,existing_label_columns,notes
0,Incident Risk Prediction,incident_risk_prediction,resident_safety,predictive,implemented,completed_baseline,resident_monthly_features,,resident_risk,existing_label,label_incident_next_30d; label_reintegration_complete_next_90d,Already implemented as `resident_risk` using `label_incident_next_30d`.
8,Safehouse Performance Explanation,safehouse_performance_explanation,strategic_planning,explanatory,partial,finish_partial,safehouse_features,,safehouse_outcomes,existing_proxy_outcomes,,A safehouse-level notebook scaffold and analytic table already exist via `safehouse_outcomes`.
1,Donor Upgrade Likelihood,donor_upgrade_likelihood,donor_growth,predictive,next,build_now,supporter_features,campaign_features,donor_retention; donation_uplift,new_label_needed,label_lapsed_180d,Best donor-branch adjacency once a future amount-growth label is added to supporter snapshots.
2,Recurring Donor Conversion,recurring_donor_conversion,donor_growth,predictive,next,build_now,supporter_features,campaign_features,donor_retention,new_label_needed,label_lapsed_180d,Extends the donor branch with a first-recurring-within-window label and keeps the same scoring UX.
3,Best Posting Time Prediction,best_posting_time_prediction,outreach_optimization,predictive,next,build_now,post_features,,social_media_conversion,existing_label,label_donation_referral_positive; label_estimated_donation_value_php,Can reuse donation-linked post outcomes immediately while re-framing the feature slice around timing variables.
4,Content Type Effectiveness Explanation,content_type_effectiveness_explanation,outreach_optimization,explanatory,next,build_now,post_features,,social_media_conversion,existing_label,label_donation_referral_positive; label_estimated_donation_value_php,"Pure explanation notebook off the existing post table, with no new shared dataset work required."
5,Donation Channel Effectiveness Explanation,donation_channel_effectiveness_explanation,donor_growth,explanatory,next,build_now,campaign_features,supporter_features,donor_retention; donation_uplift,existing_proxy_outcomes,label_lapsed_180d,"Can explain long-term donor value by acquisition and giving channel with today's aggregates, even before a new supervised label is added."
6,Next Donation Amount Prediction,next_donation_amount_prediction,donor_growth,predictive_regression,next,build_now,supporter_features,campaign_features,donor_retention; donation_uplift,new_label_needed,label_lapsed_180d,"Reuses the donor branch, but needs a longitudinal regression target instead of the current classification labels."
7,Case Prioritization Score,case_prioritization_score,resident_safety,predictive_ranking,next,build_after_donor_wave,resident_monthly_features,,resident_risk; reintegration_readiness,existing_proxy_labels,label_incident_next_30d; label_reintegration_complete_next_90d,Can combine current risk and reintegration signals into a triage score before introducing a brand-new resident label.
9,Resource Demand Prediction,resource_demand_prediction,strategic_planning,predictive,next,later_strategic,safehouse_features,,safehouse_outcomes,new_label_needed,,"The safehouse table is ready, but a forward-looking demand label still needs to be designed."
10,Capacity Pressure Prediction,capacity_pressure_prediction,strategic_planning,predictive,next,later_strategic,safehouse_features,,safehouse_outcomes,existing_proxy_outcomes,,Can start from `capacity_utilization_ratio` and occupancy signals already in `safehouse_features`.
11,Counseling Progress Prediction,counseling_progress_prediction,resident_safety,predictive,next,build_after_donor_wave,resident_monthly_features,resident_features,reintegration_readiness,new_label_needed,label_incident_next_30d; label_reintegration_complete_next_90d,Needs a defensible future progress label derived from process recordings or wellbeing deltas.
12,Education Improvement Prediction,education_improvement_prediction,resident_safety,predictive,next,build_after_donor_wave,resident_monthly_features,resident_features,reintegration_readiness,new_label_needed,label_incident_next_30d; label_reintegration_complete_next_90d,"Shared resident tables already cover the source signals, but the target still needs to be defined cleanly."
13,Wellbeing Deterioration Prediction,wellbeing_deterioration_prediction,resident_safety,predictive,next,build_after_donor_wave,resident_monthly_features,resident_features,resident_risk,new_label_needed,label_incident_next_30d; label_reintegration_complete_next_90d,"Natural resident-monthly extension, but still needs a future wellbeing decline label or composite outcome."
14,Home Visitation Outcome Prediction,home_visitation_outcome_prediction,resident_safety,predictive,next,build_after_donor_wave,resident_features,resident_monthly_features,reintegration_readiness,new_label_needed,label_incident_next_30d; label_reintegration_complete_next_90d,"Reuses the reintegration branch, but target design will need careful leakage review around visit timing."
15,Donation Allocation Impact Explanation,donation_allocation_impact_explanation,strategic_planning,explanatory,next,later_strategic,safehouse_features,campaign_features; supporter_features,donation_uplift; safehouse_outcomes,existing_proxy_outcomes,label_lapsed_180d,"Strong donor-to-outcome story potential, but it spans multiple current branches and should follow the faster donor/outreach work."
16,Public Impact Forecasting,public_impact_forecasting,strategic_planning,forecasting,next,later_strategic,public_impact_snapshots_raw,,safehouse_outcomes,raw_table_only,,"The raw table exists, but there is no shared processed public-impact table yet."
17,Donor-to-Impact Personalization Model,donor_to_impact_personalization_model,strategic_planning,personalization,next,later_strategic,supporter_features,campaign_features; safehouse_features,donor_retention; donation_uplift; safehouse_outcomes,new_label_needed,label_lapsed_180d,"High-value long-term idea, but it depends on several branches and a new personalization target definition."
