table,domain,grain,table_level,primary_key,row_count,column_count,date_columns,columns
donation_allocations,donor_support,one row per donation x safehouse x program area,allocation,allocation_id,521,7,allocation_date,"allocation_id, donation_id, safehouse_id, program_area, amount_allocated, allocation_date, allocation_notes"
donations,donor_support,one row per donation event,event,donation_id,420,13,donation_date,"donation_id, supporter_id, donation_type, donation_date, is_recurring, campaign_name, channel_source, currency_code, amount, estimated_value, impact_unit, notes, referral_post_id"
education_records,case_management,one row per resident per record date,periodic,education_record_id,534,10,record_date,"education_record_id, resident_id, record_date, education_level, school_name, enrollment_status, attendance_rate, progress_percent, completion_status, notes"
health_wellbeing_records,case_management,one row per resident per record date,periodic,health_record_id,534,14,record_date,"health_record_id, resident_id, record_date, general_health_score, nutrition_score, sleep_quality_score, energy_level_score, height_cm, weight_kg, bmi, medical_checkup_done, dental_checkup_done, psychological_checkup_done, notes"
home_visitations,case_management,one row per home or field visit,event,visitation_id,1337,14,visit_date,"visitation_id, resident_id, visit_date, social_worker, visit_type, location_visited, family_members_present, purpose, observations, family_cooperation_level, safety_concerns_noted, follow_up_needed, follow_up_notes, visit_outcome"
in_kind_donation_items,donor_support,one row per in-kind line item,line_item,item_id,129,9,,"item_id, donation_id, item_name, item_category, quantity, unit_of_measure, estimated_unit_value, intended_use, received_condition"
incident_reports,case_management,one row per incident,event,incident_id,100,12,"incident_date, resolution_date","incident_id, resident_id, safehouse_id, incident_date, incident_type, severity, description, response_taken, resolved, resolution_date, reported_by, follow_up_required"
intervention_plans,case_management,one row per intervention plan,plan,plan_id,180,11,"target_date, case_conference_date, created_at, updated_at","plan_id, resident_id, plan_category, plan_description, services_provided, target_value, target_date, status, case_conference_date, created_at, updated_at"
partner_assignments,reference,one row per partner x safehouse x program area,bridge,assignment_id,48,9,"assignment_start, assignment_end","assignment_id, partner_id, safehouse_id, program_area, assignment_start, assignment_end, responsibility_notes, is_primary, status"
partners,reference,one row per partner,entity,partner_id,30,12,"start_date, end_date","partner_id, partner_name, partner_type, role_type, contact_name, email, phone, region, status, start_date, end_date, notes"
process_recordings,case_management,one row per counseling session,event,recording_id,2819,15,session_date,"recording_id, resident_id, session_date, social_worker, session_type, session_duration_minutes, emotional_state_observed, emotional_state_end, session_narrative, interventions_applied, follow_up_actions, progress_noted, concerns_flagged, referral_made, notes_restricted"
public_impact_snapshots,public_reporting,one row per reporting month,monthly_aggregate,snapshot_id,50,7,"snapshot_date, published_at","snapshot_id, snapshot_date, headline, summary_text, metric_payload_json, is_published, published_at"
residents,case_management,one row per resident,entity,resident_id,60,49,"date_of_birth, date_of_admission, date_colb_registered, date_colb_obtained, date_case_study_prepared, date_enrolled, date_closed, created_at","resident_id, case_control_no, internal_code, safehouse_id, case_status, sex, date_of_birth, birth_status, place_of_birth, religion, case_category, sub_cat_orphaned, sub_cat_trafficked, sub_cat_child_labor, sub_cat_physical_abuse, sub_cat_sexual_abuse, sub_cat_osaec, sub_cat_cicl, sub_cat_at_risk, sub_cat_street_child, sub_cat_child_with_hiv, is_pwd, pwd_type, has_special_needs, special_needs_diagnosis, family_is_4ps, family_solo_parent, family_indigenous, family_parent_pwd, family_informal_settler, date_of_admission, age_upon_admission, present_age, length_of_stay, referral_source, referring_agency_person, date_colb_registered, date_colb_obtained, assigned_social_worker, initial_case_assessment, date_case_study_prepared, reintegration_type, reintegration_status, initial_risk_level, current_risk_level, date_enrolled, date_closed, created_at, notes_restricted"
safehouse_monthly_metrics,operations,one row per safehouse per month,monthly_aggregate,metric_id,450,11,"month_start, month_end","metric_id, safehouse_id, month_start, month_end, active_residents, avg_education_progress, avg_health_score, process_recording_count, home_visitation_count, incident_count, notes"
safehouses,reference,one row per safehouse,entity,safehouse_id,9,13,open_date,"safehouse_id, safehouse_code, name, region, city, province, country, open_date, status, capacity_girls, capacity_staff, current_occupancy, notes"
social_media_posts,outreach,one row per social media post,event,post_id,812,39,created_at,"post_id, platform, platform_post_id, post_url, created_at, day_of_week, post_hour, post_type, media_type, caption, hashtags, num_hashtags, mentions_count, has_call_to_action, call_to_action_type, content_topic, sentiment_tone, caption_length, features_resident_story, campaign_name, is_boosted, boost_budget_php, impressions, reach, likes, comments, shares, saves, click_throughs, video_views, engagement_rate, profile_visits, donation_referrals, estimated_donation_value_php, follower_count_at_post, watch_time_seconds, avg_view_duration_seconds, subscriber_count_at_post, forwards"
supporters,donor_support,one row per supporter,entity,supporter_id,60,15,"created_at, first_donation_date","supporter_id, supporter_type, display_name, organization_name, first_name, last_name, relationship_type, region, country, email, phone, status, created_at, first_donation_date, acquisition_channel"
